VEhRdq_full_1,VMlU2I_coarse_10,VG7JJJ_fines_10,VFcpzw_full_11,Vsdr7f_coarse_12,VSwOOc_fines_12,VmmHHR_half_13,VtZz5Y_half2_13,VDjuTe_full_14,VN6dhN_full_15,VFDyvM_full_16,V3qo9C_full_2,VaekFo_full_3,VDisem_full_4,VNoXGX_full_5,VQOmgZ_full_6,VN11Rm_full_7,Vw75XK_full_8,VxHJW0_full_9
55.1364899018593,1716.77903254922,1716.77903254922,1921.83874699371,2119.20199658086,2119.20199658086,2323.28673498548,2323.28673498548,2526.34661894208,2716.20553815659,2942.29370125043,203.492419036088,399.465425682082,604.303748445203,717.550665783723,931.93357200354,1124.28868030843,1325.54559439016,1514.41301279868
100,30,70,100,30,70,50,50,100,100,100,100,100,100,100,100,100,100,100
1,40,6,20,89,30,8,42,6,80,8,4,34,20,8,50,6,60,8
5,81,38,78,9,3,45,50,44,8,52,20,7,3,38,35,30,58,6
5,38,95,73,26,6,7,3,23,7,12,1,30,65,46,4,7,20,25
8,70,30,6,25,8,59,5,46,8,30,22,26,26,26,76,50,25,58
5,44,6,5,25,5,30,67,4,6,25,27,7,4,3,73,40,65,9
6,7,26,24,37,4,7,3,50,35,3,7,4,49,5,20,3,88,32
44,70,42,8,54,5,40,7,7,62,5,2,47,45,30,9,4,4,102
20,46,34,74,34,89,46,62,6,8,7,36,48,2,7,8,22,82,37
9,40,2,12,63,60,45,70,3,3,36,83,8,23,2,83,7,40,8
2,40,6,7,55,9,38,6,68,2,7,58,28,69,7,23,8,93,33
9,4,37,97,85,7,9,5,46,72,5,7,2,72,1,5,5,5,9
7,20,64,25,35,7,8,7,40,5,3,49,38,23,24,44,36,44,70
5,25,5,33,38,8,60,26,16,23,7,28,36,8,5,52,28,5,79
37,5,8,6,8,5,7,25,5,8,60,64,30,2,36,25,30,83,130
9,4,64,1,32,22,53,30,22,80,69,8,1,1,5,6,39,6,73
14,46,68,49,80,60,26,68,9,1,7,9,40,34,2,9,57,6,54
7,2,6,37,66,89,8,9,93,56,43,76,43,7,8,8,82,59,5
1,101,6,30,13,9,22,2,30,22,5,24,2,2,74,9,38,5,75
9,100,4,58,78,5,66,26,70,33,45,8,5,5,33,42,36,5,2
34,62,28,44,14,22,21,8,6,64,5,44,44,58,35,5,4,80,15
8,30,8,33,52,1,25,9,52,49,3,35,25,34,23,99,52,5,38
1,49,80,44,23,25,19,3,36,50,14,24,2,2,8,1,40,22,32
5,34,5,18,92,30,1,9,7,7,48,38,74,2,4,82,23,52,32
40,50,7,63,93,30,30,3,37,27,43,2,4,38,20,21,55,9,29
8,58,2,25,55,37,25,86,4,7,47,58,47,40,5,54,50,8,39
6,50,5,11,39,33,3,56,85,73,21,78,1,5,20,56,35,55,86
9,23,5,12,27,23,66,8,78,5,31,1,7,46,9,44,43,25,18
2,61,2,13,31,32,62,6,44,20,61,8,28,53,4,20,103,8,85
26,62,35,72,76,5,23,28,7,39,36,22,3,34,3,60,15,20,42
36,31,84,72,41,30,28,3,59,17,65,12,2,75,29,27,58,53,53
24,42,6,22,59,3,24,22,46,20,17,173,24,5,18,12,23,52,22
6,36,60,18,30,37,40,26,4,43,15,18,2,49,37,61,10,32,63
1,17,26,65,34,8,21,3,90,93,47,14,36,68,42,32,33,28,73
4,60,47,67,49,2,36,36,65,42,41,14,5,54,42,11,82,85,51
5,116,12,230,18,3,30,8,37,58,17,10,18,3,28,45,22,68,18
36,80,51,10,35,54,12,6,93,13,36,12,28,54,10,47,62,59,24
26,80,55,37,63,64,33,61,13,54,72,38,21,3,23,44,33,38,48
5,19,17,47,45,3,35,14,19,43,88,18,32,8,31,59,34,9,163
6,85,28,65,15,8,22,22,60,10,75,38,13,6,68,46,18,100,28
2,85,26,16,15,46,56,66,50,40,71,16,18,7,38,12,22,22,22
8,30,38,28,51,3,42,101,54,48,53,18,45,61,26,47,74,23,92
28,36,18,23,62,35,22,53,61,44,54,15,37,14,62,42,22,79,11
36,52,60,108,21,2,75,15,54,19,39,13,23,23,50,94,43,58,104
46,55,40,14,14,4,26,38,27,67,25,42,28,44,52,13,52,15,43
14,63,68,35,27,30,22,43,16,63,51,98,14,65,12,66,90,58,36
9,53,39,44,83,74,51,37,28,34,32,53,64,20,29,41,25,15,48
5,56,34,82,15,0,10,10,29,74,45,11,43,91,32,38,46,69,34
8,56,26,20,58,40,45,68,92,48,113,18,35,13,26,21,73,24,15
2,37,15,17,22,31,20,10,52,42,39,46,22,47,58,12,37,100,103
30,63,47,49,81,67,46,60,23,72,15,109,35,11,19,100,21,65,93
23,55,27,51,42,10,65,16,38,11,91,36,14,28,10,52,13,15,31
9,73,62,23,31,48,30,21,11,75,48,20,11,21,23,24,40,45,27
4,49,24,20,123,29,19,16,36,42,18,28,33,13,32,45,14,30,47
4,36,12,56,48,31,24,44,84,35,39,11,52,15,20,13,31,13,30
84,48,31,15,73,49,16,71,43,19,22,44,42,49,26,28,47,39,51
28,79,27,27,17,15,18,20,15,32,43,117,15,32,15,35,115,61,42
36,13,11,47,50,52,34,82,68,42,35,24,25,85,20,33,52,21,34
6,68,17,21,25,28,31,18,25,27,56,35,27,45,22,16,32,13,80
6,25,22,31,54,30,47,17,60,33,50,11,52,19,12,22,32,82,44
30,69,42,52,32,10,12,57,48,40,57,17,74,35,72,16,20,58,20
4,27,73,39,12,64,62,52,50,31,36,37,36,54,18,35,10,25,22
2,31,40,70,56,30,28,29,18,44,53,18,54,12,55,42,23,82,33
10,34,15,13,46,42,41,21,12,54,42,13,33,50,10,15,18,54,18
133,36,22,56,14,27,45,27,17,38,46,40,75,27,16,26,30,46,78
30,32,16,27,33,32,40,51,63,11,45,12,26,18,43,51,99,10,48
18,87,36,43,28,18,47,38,48,57,27,49,49,39,18,18,32,12,98
63,42,33,37,77,58,14,78,64,31,33,34,54,13,47,12,12,45,34
13,21,44,85,52,36,36,62,90,44,85,13,20,41,50,79,63,41,52
34,49,27,22,78,43,12,13,14,118,34,43,67,15,31,75,44,13,30
32,95,18,58,70,84,29,75,35,22,46,33,68,22,88,53,22,16,72
16,65,12,73,84,103,50,31,14,18,65,22,65,109,32,59,18,28,15
17,16,17,10,18,25,23,32,27,15,49,12,73,27,52,13,22,12,42
11,53,29,48,19,31,58,86,71,21,95,103,12,34,52,55,84,12,24
10,27,23,27,68,43,45,17,86,62,12,31,54,64,12,81,47,90,53
48,15,10,15,38,38,12,40,17,35,62,46,29,11,58,56,27,45,46
17,39,47,43,61,22,23,52,54,16,32,33,23,64,61,35,32,14,15
26,47,10,20,84,71,32,14,97,35,45,15,32,82,23,10,60,67,18
34,12,19,52,53,11,57,15,61,93,22,12,77,18,45,53,35,41,21
16,30,58,106,49,39,63,73,21,27,53,112,45,50,130,26,43,27,55
52,80,48,110,52,12,57,22,10,58,12,24,42,69,30,24,40,12,58
52,40,10,12,110,33,80,45,23,26,14,38,12,36,48,27,69,22,22
13,12,25,52,43,284,73,93,37,83,71,29,21,43,41,87,22,31,62
66,18,20,52,48,27,32,13,97,23,30,14,33,52,58,26,37,100,30
75,26,25,142,52,12,48,34,27,15,14,63,24,41,40,49,25,12,16
22,99,27,18,70,29,44,22,91,26,38,44,48,33,18,10,52,30,28
10,35,28,35,59,30,50,22,15,26,42,31,26,93,40,117,40,93,112
39,31,100,28,64,53,45,16,13,14,17,36,45,52,39,28,76,63,49
31,120,30,67,45,16,50,39,36,72,72,18,42,34,98,40,34,56,82
73,45,32,18,18,42,12,96,130,16,74,51,17,18,64,103,33,53,62
27,49,11,83,62,52,62,17,92,20,90,34,83,57,28,61,112,11,14
28,53,14,85,175,63,156,36,32,22,39,11,18,62,49,59,73,72,33
43,10,55,182,30,31,18,10,12,11,13,18,57,33,26,21,25,43,57
13,125,27,87,82,41,84,119,62,118,67,67,43,51,43,45,72,10,12
10,59,40,27,102,61,18,14,57,79,75,104,33,44,126,68,30,45,61
28,22,27,60,32,43,28,64,12,72,50,30,41,10,22,31,133,165,104
25,17,24,19,87,35,48,37,173,20,80,11,35,23,24,34,53,15,13
19,27,10,175,66,48,35,47,66,26,49,51,22,71,31,30,35,47,27
56,56,45,43,54,10,75,17,25,26,26,23,116,42,42,19,52,27,58
98,37,23,48,48,32,21,43,62,88,43,22,34,46,68,18,75,12,52
23,35,78,0,40,23,58,38,14,62,74,117,27,27,25,54,46,80,26
23,97,0,0,0,72,68,17,17,0,0,0,33,23,0,0,0,0,0
120,0,0,0,0,98,0,44,0,0,0,0,18,27,0,0,0,0,0
14,0,0,0,0,42,0,40,0,0,0,0,47,77,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
