VFkJEj_full_1,VRWs1V_coarse_10,V77Mvm_fines_10,V4lruX_coarse_11,VPCdnR_fines_11,VgPSo3_coarse_12,V1NY3P_fines_12,V7mKzo_coarse_13,VhPCOW_fines_13,Vn9Mu2_full_2,VdJydH_full_3,V2nG4C_full_4,VC9qXf_full_5,VvDtrc_full_6,VkVKY5_full_7,VOWUFf_coarse_8,Vz4sXS_fines_8,Vq25Fd_coarse_9,VHP2MH_fines_9
824.136252057603,1975.83305358075,1975.83305358075,2064.21266421569,2064.21266421569,2183.76642062959,2183.76642062959,2310.71084669766,2310.71084669766,955.698291088216,1104.1594817347,1246.73434463654,1377.96818533927,1457.12821385278,1573.58202487736,1696.37927542976,1696.37927542976,1841.06105115579,1841.06105115579
100,30,70,20,80,20,80,50,50,100,100,100,100,100,100,50,50,30,70
9,48,38,7,6,39,80,66,6,9,36,20,44,46,3,72,69,53,28
5,46,55,23,38,20,22,7,36,6,20,69,25,59,83,41,53,52,45
2,59,42,40,23,95,36,34,57,20,76,28,35,53,49,30,8,20,44
8,47,4,54,26,25,35,70,76,58,9,5,68,86,50,35,68,74,8
37,50,37,37,7,55,36,58,33,8,8,37,82,26,6,50,55,35,30
3,33,36,42,3,20,6,28,23,20,3,56,84,64,88,40,8,53,40
7,22,72,26,23,22,34,26,26,3,26,8,70,42,76,30,48,8,22
23,30,36,7,6,58,40,30,57,8,44,9,3,89,40,30,46,83,22
48,54,22,7,36,26,6,34,62,77,9,6,2,46,23,40,56,74,8
3,54,46,3,8,40,53,9,9,7,70,39,70,55,34,89,22,48,59
240,28,57,8,57,130,22,30,26,70,34,39,45,9,36,35,65,62,18
70,54,33,59,45,54,6,27,55,15,36,18,50,33,60,75,49,25,28
38,67,60,74,7,63,23,30,9,78,9,45,27,36,76,40,26,40,38
40,42,26,32,52,22,22,82,37,44,55,99,59,33,52,82,21,70,6
13,86,44,58,27,70,78,9,11,5,96,46,70,129,74,42,53,3,23
90,58,9,64,21,26,84,76,63,8,16,26,40,43,80,50,25,96,72
67,58,65,8,13,34,28,5,42,5,79,17,6,43,28,64,25,50,25
25,59,33,62,23,82,40,58,12,18,23,27,122,27,99,42,56,20,28
310,50,1,77,18,22,76,24,27,44,36,56,69,50,24,75,25,22,58
26,84,28,32,16,53,8,50,78,33,56,190,16,35,15,63,40,38,28
17,90,49,43,52,23,6,22,49,37,26,125,13,35,21,37,7,7,35
17,30,89,89,45,56,50,20,14,108,10,63,49,54,5,89,18,68,50
67,38,9,50,33,14,48,6,62,2,115,133,27,38,30,21,20,50,72
27,58,2,88,38,52,3,74,43,78,12,44,105,35,28,102,78,78,20
166,88,82,5,53,78,66,58,15,48,40,17,38,24,42,38,4,49,30
24,9,33,30,40,60,45,38,54,106,63,50,98,36,19,40,40,70,36
152,68,22,9,10,136,73,108,52,71,79,61,15,52,25,36,55,22,60
20,102,25,3,47,83,6,102,50,36,58,94,31,66,50,22,42,62,8
77,43,27,21,37,65,57,115,102,51,28,35,37,45,36,26,15,50,35
23,23,11,63,17,73,34,46,28,41,22,40,24,96,52,40,31,31,30
17,21,19,77,50,68,45,16,20,50,18,17,124,16,28,40,13,57,24
11,27,38,91,57,75,10,41,72,117,70,95,28,74,83,33,32,72,32
32,55,25,23,28,62,34,80,53,21,113,51,98,98,24,26,46,98,62
13,72,29,33,72,75,54,94,19,13,18,35,53,61,39,33,58,23,8
85,23,17,71,17,24,13,114,33,17,25,12,25,41,55,48,47,52,8
42,34,15,54,33,68,44,86,29,91,52,65,44,63,17,23,31,10,117
32,24,25,12,42,58,43,53,62,11,12,16,19,112,28,1,72,62,62
80,103,63,71,14,27,72,117,17,24,26,10,63,48,27,45,50,29,38
55,58,22,105,14,16,55,62,29,87,76,72,39,18,173,22,16,62,79
67,60,16,64,39,35,38,50,96,47,38,92,31,65,28,39,31,99,8
18,67,55,82,65,63,24,13,16,38,46,20,31,86,36,71,21,18,13
43,55,25,65,53,22,82,42,11,88,31,87,38,28,25,110,30,58,15
109,27,50,72,35,74,16,70,63,89,114,31,61,111,155,51,69,42,48
25,63,33,73,33,35,60,97,43,215,102,63,72,72,57,32,15,37,73
31,35,38,51,33,42,63,98,60,25,77,14,18,46,30,54,16,42,28
47,117,64,95,68,157,73,88,29,15,55,38,172,24,22,34,14,102,55
56,47,53,55,13,68,27,15,43,65,10,125,110,16,78,76,142,67,42
50,56,39,90,58,28,64,13,21,17,10,18,99,18,17,48,106,32,40
159,24,22,86,64,12,26,68,16,265,53,22,34,27,31,40,55,14,24
49,35,16,25,44,112,34,23,57,140,135,21,18,28,75,117,78,122,81
57,43,42,52,33,125,71,11,76,10,16,37,82,45,38,34,30,42,25
76,38,17,129,42,116,35,75,50,101,83,52,72,74,62,35,60,57,65
35,22,78,30,62,52,40,26,67,55,90,35,145,25,19,61,35,18,55
91,51,65,26,45,132,21,34,66,76,107,10,47,56,16,48,31,29,19
120,38,11,53,16,18,32,82,16,81,83,27,35,21,23,23,54,53,60
55,73,23,95,35,14,74,34,35,41,36,23,64,100,110,171,43,102,42
24,52,27,16,28,56,53,18,12,92,45,119,147,62,79,66,105,72,90
93,22,10,75,35,34,49,140,24,107,22,72,25,73,118,106,42,50,52
75,58,52,57,38,16,15,21,72,60,36,35,73,71,92,16,48,69,15
45,82,42,22,25,25,32,22,45,45,40,57,35,12,37,107,52,15,68
12,86,30,61,52,57,56,120,51,31,23,23,97,64,35,137,66,42,67
55,37,53,32,24,132,35,69,67,121,88,58,97,47,56,31,52,60,90
235,54,58,73,14,64,17,47,50,73,11,100,31,28,17,82,27,43,25
119,72,26,21,22,38,42,48,23,27,44,42,62,16,62,48,39,96,22
13,59,10,55,47,38,35,23,17,44,62,35,52,72,45,15,82,75,67
79,53,49,52,55,15,15,73,35,43,32,25,28,60,52,61,112,118,38
110,92,80,18,44,32,26,43,59,39,20,58,31,49,24,45,125,58,74
98,31,45,60,49,15,69,38,63,49,71,75,82,106,80,46,15,37,31
113,64,52,17,62,21,33,17,55,93,135,43,43,113,62,134,66,101,13
76,18,24,31,49,54,34,69,82,67,212,62,86,53,81,102,22,13,34
42,64,34,33,28,78,64,169,35,102,60,195,44,51,129,32,43,75,23
16,147,34,64,42,215,38,57,38,255,12,41,10,10,64,94,29,42,73
93,80,46,107,24,45,41,13,21,14,32,82,26,36,198,14,50,53,83
28,44,19,72,49,43,75,210,19,45,56,64,59,13,68,142,72,99,39
90,50,45,102,50,62,55,13,18,25,48,37,41,37,76,150,12,64,25
15,64,17,14,32,72,51,78,17,50,121,43,81,99,44,79,37,105,27
108,63,35,25,63,18,12,71,52,60,62,47,68,35,62,52,16,11,59
45,28,52,96,52,49,47,86,60,52,59,105,118,19,60,42,15,135,53
73,94,80,79,55,122,18,33,67,79,27,17,38,130,13,69,68,86,12
58,28,13,10,48,50,41,181,66,14,93,32,13,91,108,42,30,81,31
55,112,37,14,43,84,35,22,10,100,123,45,23,148,36,17,105,111,27
52,67,10,74,25,113,28,58,14,10,82,54,135,26,56,42,52,49,135
50,80,36,52,61,15,48,12,19,63,14,52,46,90,47,123,48,43,52
68,103,41,82,54,72,53,33,12,66,21,73,78,12,54,97,13,22,23
17,57,36,13,53,64,34,46,69,27,112,21,24,92,79,54,48,54,37
25,42,44,36,14,14,41,95,65,90,26,23,68,24,39,129,14,123,68
60,11,46,44,72,100,13,46,27,50,67,82,31,34,103,12,32,63,35
102,48,12,41,73,18,52,91,64,43,109,125,15,12,64,35,62,72,34
38,73,116,82,67,24,52,132,89,132,24,112,220,70,100,73,19,42,75
59,142,37,68,5,15,10,77,30,60,49,19,115,49,35,53,18,65,58
27,60,92,123,38,200,85,21,42,19,201,95,66,48,79,54,28,110,81
125,16,53,41,45,80,84,132,82,90,12,20,72,15,20,75,153,22,13
14,95,30,30,62,144,24,78,10,60,56,77,16,74,45,35,35,37,30
50,13,30,12,27,62,52,103,90,15,76,85,42,17,60,58,65,42,44
83,51,69,111,25,16,66,72,43,134,77,42,64,42,42,38,65,124,79
45,19,10,120,38,37,28,39,53,14,52,15,55,140,166,48,68,116,53
58,123,83,72,34,99,12,67,99,42,210,98,8,176,60,27,49,82,67
158,74,33,93,42,98,11,83,45,45,54,27,92,0,32,92,37,120,63
220,55,37,33,41,120,17,132,58,42,84,38,93,0,132,16,66,213,63
5,27,38,37,36,0,43,20,120,182,120,37,40,0,108,37,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
